p1_won,surface,rank_p,form_old_p,form_new_p,career_p,career_conf,surface_p,surface_conf,h2h_p,h2h_w,fatigue_pp,model_old,model_new,p1_name,p2_name,date,tour_type,tournament,match_id,market_p
0,Hard,0.46318643539889803,0.5161290322580645,0.49850845396555044,0.4057971014492754,1.0,0.22687391051714112,1.0,,0.0,-0.0,0.46170418970207927,0.3961895999605298,Allen Louis,Delicata Liam,2026-09-21,atp-single,Futures 2026,3328509,0.12031782065834284
1,,0.44955159028173186,0.5294117647058824,0.5190272181660651,,0.0,,0.0,,0.0,-3.0,0.4594816774938071,0.4542894042238985,Rabjohns Autumn,Heuser Megan,2026-09-17,wta-single,UTR Pro Match Series,3325973,0.5941644562334217
0,Indoors,0.5288805344905283,0.23728813559322037,0.2584424141828232,0.384,0.675,0.2602389078498294,0.15,,0.0,-0.0,0.38331539068551346,0.38435292318643066,Bolangi Bienvenue,Harnoth Manrubia Laurens,2026-09-20,atp-single,Futures 2026,3327454,0.10810810810810811
0,Indoors,0.4461951216927379,0.6666666666666667,0.6491228070175439,0.4769230769230769,1.0,0.6258064516129033,0.25,,0.0,-0.0,0.5299282884274938,0.5563420184948922,Dyussebay Ingkar,Luo Xi,2026-09-13,wta-single,Shenyang ITF,3323661,
0,,0.4701537700706556,0.5714285714285714,0.5941669699209045,0.432943294329433,1.0,0.432943294329433,1.0,,0.0,-6.0,0.43150854527621996,0.43908801144033105,Ifi Nicolas,Recek Dominik,2026-09-17,atp-single,UTR Pro Tennis Series 5,3325833,0.35897435897435903
0,Hard,0.42830925993687496,0.6086956521739131,0.6348480215993408,0.5727184779103515,1.0,0.6490976730227735,1.0,,0.0,-6.0,0.4765744633403799,0.5107516515196631,Verwerft Lars Goran,Deckers Alec,2026-09-16,atp-single,Futures 2026,3324829,0.2367906066536204
0,,,0.4545454545454546,0.3922066217280884,0.5,0.35,0.5,0.35,0.6666666666666667,0.125,-3.0,0.43632996632996635,0.41104403732977746,Gilbert Ariana,Wojcik Monika,2026-09-09,wta-single,UTR Pro Match Series,3319913,0.5543478260869565
0,Hard,,,,1.0,0.3,1.0,0.6,,0.0,-0.0,,,Khairy Fatema,Lekomtseva Victoria,2026-09-13,wta-single,Hurghada 11 ITF,3323401,
1,Hard,0.5388568597051631,0.7692307692307692,0.7273007073187594,0.4857142857142857,1.0,0.38945669714900477,1.0,,0.0,0.0,0.5979339715500727,0.5518714213909758,Kikawada Riko,Myatovic Julie,2026-09-09,wta-single,Monastir 49 ITF,3318271,0.6577669902912622
0,Clay,0.5141065250241881,0.4285714285714286,0.41225264546033846,0.3675675675675676,1.0,0.25055152852190354,0.75,,0.0,-0.0,0.4367485070543947,0.4051901152276197,Lombisano Juan Ignacio,Khodorchenko Mikhail,2026-09-13,atp-single,Futures 2026,3322127,0.2520491803278688
0,Hard,,0.18181818181818188,0.29431029248405294,0.16740088105726858,1.0,0.24974777584151153,0.85,,0.0,-3.0,0.14460953143772515,0.24383562267531766,Torbica Elena,Diabate Emira,2026-09-21,wta-single,Monastir 51 ITF,3329039,
1,Hard,0.40132378281528597,0.5,0.5358026261016678,0.5074626865671642,1.0,0.5308455947527033,1.0,,0.0,-3.0,0.4395954897941501,0.45932400122321904,Belkova Kristina,Vagramov Alexandra,2026-09-10,wta-single,Monastir 49 ITF,3320435,0.1936026936026936
0,,,0.33333333333333337,0.33041788143828965,,0.0,,0.0,0.3571428571428571,0.1,-3.0,0.30333333333333334,0.3028474246841595,Luboldt Leah,De Boer Jinte Eve,2026-09-19,wta-single,UTR Pro Tennis Series 5,3326893,0.6707021791767553
0,Clay,0.3301725454870964,0.7804878048780488,0.7766520460756312,0.5945945945945946,1.0,0.7777777777777779,1.0,,0.0,-3.0,0.53841831498658,0.5982007897801684,Ritschard Alexander,Ofner Sebastian,2026-09-09,atp-single,Sevilla challenger,3320047,0.43271767810026385
0,Hard,0.4904597432398182,0.2500000000000001,0.20812505295263917,0.4988452655889146,1.0,0.38919994779430966,1.0,0.19999999999999996,0.375,-0.0,0.4131016696095776,0.344528813033116,Arseneault Ariana,Voloshchuk Angelina,2026-09-14,wta-single,Caldas da Rainha,3322727,0.4368421052631578
1,Hard,0.5792217538562089,0.48387096774193555,0.48923009647864385,0.513355592654424,1.0,0.6619770455386895,1.0,,0.0,3.0,0.5554827714175229,0.6068096319578474,Egorova Daria,Ercan Melisa,2026-09-21,wta-single,Ankara,3328482,0.7947368421052632
0,,,0.7058823529411764,0.7090372678305539,,0.0,,0.0,,0.0,-3.0,0.6758823529411765,0.6790372678305538,Magrini Matilde,Mar Tricia,2026-09-15,wta-single,UTR Pro Match Series,3324773,0.8051724137931034
1,Clay,0.6200336283210686,0.4615384615384615,0.4859981677172733,0.4760614272809395,1.0,0.4667873615242036,1.0,,0.0,-6.0,0.4592111723801566,0.46427305252084844,Gima Sebastian,Tolev Aleksandar,2026-09-20,atp-single,Plovdiv 4 challenger,3327230,0.8779931584948689
1,Hard,0.5220777820514529,0.5294117647058824,0.5048592888010753,0.4950372208436724,1.0,0.3881198087087843,1.0,,0.0,0.0,0.5155089225336692,0.4716856265204375,Krivoshchekov Makar,Kaserer Maurice-Noel,2026-09-08,atp-single,Futures 2026,3318351,0.6763285024154588
0,Clay,0.37562442565760445,0.33333333333333337,0.34495003297316496,0.4511343804537522,1.0,0.3098134630981346,1.0,0.1901140684410646,0.4075,-0.0,0.3866973798148967,0.32512381646915267,Aguilar Cardozo Federico,Aguilar Cardozo Joaquin,2026-09-21,atp-single,Buenos Aires challenger,3329890,0.16167664670658688
0,Hard,0.7588376288749565,0.6000000000000001,0.5739638086699024,0.5906040268456376,1.0,0.7778380577783806,1.0,,0.0,-0.0,0.649813885240198,0.7035464984410797,Shick Braden,Maloney Patrick (2000),2026-09-21,atp-single,San Diego 2 challenger,3328347,0.6889400921658986
1,Clay,,0.5294117647058824,0.5136619369280455,0.5172413793103448,0.55,0.5102040816326531,1.0,,0.0,0.0,0.5250932408558528,0.5119330092803493,Da Silva Lamin Lourenzo,Januchowski Jakub,2026-09-21,atp-single,Futures 2026,3328581,
1,Hard,0.4949774452384568,0.8333333333333333,0.77964888013085,0.5555555555555556,0.775,0.5876777251184835,1.0,,0.0,0.0,0.6338257059918363,0.6207680168292634,Shearer Matthew,Xie Tianlin,2026-09-20,atp-single,Futures 2026,3328432,
