player_slug,name,elo,matches,elo_hard,matches_hard,elo_clay,matches_clay,elo_grass,matches_grass,elo_indoors,matches_indoors
/player/tudorica/,Tudorica A.,1859.5,10,1631.1,2.0,1773.6,8.0,,,,
/player/eala/,Eala A.,1859.0,38,1718.6,12.0,1479.4,10.0,1719.7,16.0,,
/player/shi-2f390/,Shi H.,1858.9,47,1880.2,43.0,1387.2,2.0,,,1534.6,2.0
/player/jodar/,Jodar R.,1858.8,40,1711.2,14.0,1856.8,22.0,1555.2,3.0,,
/player/roh-507eb/,Roh H.,1858.1,28,1715.5,6.0,1809.3,17.0,1564.8,5.0,,
/player/hardt-79c77/,Hardt N.,1856.8,39,1743.6,4.0,1774.1,33.0,,,,
/player/johnson-a3da6/,Johnson S.,1856.3,39,1712.0,16.0,1878.5,17.0,1798.5,6.0,,
/player/egorova-5b1bf/,Egorova D.,1855.5,36,1601.8,1.0,1836.3,35.0,,,,
/player/oktiabreva/,Oktiabreva A.,1855.2,16,1468.9,1.0,1863.4,15.0,,,,
/player/radovanovic-5b7ca/,Radovanovic N.,1854.1,43,,,1838.6,42.0,,,,
/player/saraiva-dos-santos/,Saraiva Dos Santos P.,1852.4,42,1574.3,6.0,1833.8,35.0,,,,
/player/lajal/,Lajal M.,1852.2,48,1804.3,37.0,1486.8,1.0,1517.2,10.0,,
/player/ibragimova-ef6ec/,Ibragimova A.,1851.9,40,1692.3,5.0,1837.8,33.0,,,1504.6,2.0
/player/ghirardato/,Ghirardato E.,1851.5,35,,,1791.8,26.0,,,,
/player/welker/,Welker E.,1851.2,21,,,1621.6,6.0,,,,
/player/bennani-3005c/,Bennani R.,1850.3,26,1598.6,5.0,1837.2,19.0,,,,
/player/lehecka/,Lehecka J.,1850.3,33,1629.6,11.0,1615.8,10.0,1691.2,10.0,,
/player/lingua-lavallen/,Lingua Lavallen A.,1850.3,11,,,,,,,,
/player/schunk/,Schunk N.,1848.5,34,,,1817.2,34.0,,,,
/player/volynets/,Volynets K.,1848.3,41,1749.5,11.0,1597.1,16.0,1743.8,14.0,,
/player/swan-1de5d/,Swan K.,1848.1,25,1864.0,19.0,,,1617.6,5.0,,
/player/britez-risso/,Britez Risso L.,1847.2,20,,,1810.4,16.0,,,,
/player/mayot/,Mayot H.,1847.0,32,1743.6,14.0,1649.5,11.0,1459.0,3.0,1659.9,4.0
/player/yaneva/,Yaneva E.,1846.8,39,1569.8,5.0,1847.4,25.0,1508.2,2.0,1562.7,3.0
/player/zolotareva-3704a/,Zolotareva R.,1845.6,26,1494.0,3.0,1849.4,22.0,1434.3,1.0,,
/player/nakagawa-7463c/,Nakagawa N.,1845.4,19,1461.1,3.0,1761.4,11.0,1628.8,4.0,,
/player/rehberg-2d8d7/,Rehberg M.,1845.3,50,1565.7,1.0,1813.2,49.0,,,,
/player/kelm/,Kelm Y.,1844.9,45,1660.7,10.0,1834.7,31.0,1642.8,4.0,,
/player/monteiro-f1500/,Monteiro T.,1844.4,31,,,1833.4,31.0,,,,
/player/zheng-13301/,Zheng Q.,1844.1,25,1831.0,13.0,1580.4,6.0,1416.9,6.0,,
/player/baris/,Baris O.,1844.1,37,1745.8,25.0,1746.8,10.0,1504.6,2.0,,
/player/gentzsch/,Gentzsch T.,1843.9,49,1460.4,3.0,1871.6,41.0,1458.5,5.0,,
/player/blockx/,Blockx A.,1843.8,30,1715.5,7.0,1784.4,22.0,1461.4,1.0,,
/player/daniel-2dd17/,Daniel T.,1843.3,40,1639.0,13.0,1838.9,27.0,,,,
/player/harris-9f62b/,Harris L.,1842.6,27,1815.4,21.0,1545.6,5.0,1434.3,1.0,,
/player/saitoh/,Saitoh K.,1842.5,33,1740.5,13.0,1690.5,20.0,,,,
/player/purcell-e05cf/,Purcell M.,1841.6,16,1706.6,9.0,1877.1,7.0,,,,
/player/orlov-d8e3f/,Orlov V.,1841.3,47,1693.6,14.0,1732.5,30.0,1685.7,3.0,,
/player/artnak/,Artnak B.,1839.6,37,1677.9,8.0,1779.4,28.0,,,,
/player/balus/,Balus I.,1838.3,31,,,1822.3,31.0,,,,
/player/wobker/,Wobker I.,1836.9,29,1484.5,1.0,1823.9,28.0,,,,
/player/kalinskaya/,Kalinskaya A.,1836.7,27,1718.6,10.0,1765.3,12.0,1579.3,5.0,,
/player/passola/,Passola B.,1835.8,14,1885.3,6.0,1656.7,8.0,,,,
/player/de-marchi-309eb/,De Marchi A.,1835.7,34,1579.4,8.0,1786.8,25.0,,,,
/player/jones-68698/,Jones F.,1835.6,41,1643.0,5.0,1851.5,32.0,1305.9,4.0,,
/player/van-de-zandschulp/,Van De Zandschulp B.,1835.5,37,1736.9,14.0,1580.6,17.0,1484.9,5.0,,
/player/wang-d78f7/,Wang X.,1835.2,38,1686.8,12.0,1843.2,21.0,1564.6,1.0,1738.5,4.0
/player/lazarenko/,Lazarenko K.,1835.2,21,1875.1,21.0,,,,,,
/player/kovackova-1f88f/,Kovackova J.,1835.0,19,1488.9,1.0,1820.1,18.0,,,,
/player/abe-666a0/,Abe H.,1833.8,28,1711.1,24.0,,,,,1799.4,4.0
/player/popa-5ef18/,Popa G.,1833.7,24,,,1826.2,24.0,,,,
/player/mcphee/,Mcphee K.,1833.3,21,1752.0,14.0,,,,,,
/player/nesterov-34bdf/,Nesterov P.,1833.3,47,1744.2,13.0,1759.2,33.0,,,,
/player/jong-f7977/,Jong S.,1831.7,38,1749.0,13.0,1738.5,20.0,1562.0,5.0,,
/player/varillas/,Varillas J.,1831.6,31,1469.2,1.0,1804.4,28.0,,,,
/player/paul-324c3/,Paul T.,1830.9,37,1664.8,12.0,1747.7,15.0,1648.7,10.0,,
/player/ristic-c4968/,Ristic M.,1830.9,43,1619.0,3.0,1826.7,39.0,,,,
/player/perot/,Perot R.,1830.7,50,1745.3,8.0,1768.6,42.0,,,,
/player/kim-cbe6a/,Kim Y.,1830.6,35,1844.6,29.0,,,,,1627.4,6.0
/player/miron-cc8b7/,Miron T.,1830.1,30,1434.3,1.0,1825.4,29.0,,,,
/player/snitari/,Snitari I.,1830.1,20,1629.4,4.0,1615.7,7.0,1792.4,5.0,,
/player/maute/,Maute J.,1829.6,14,1752.2,9.0,1631.0,4.0,,,,
/player/stankovic-c7d3f/,Stankovic A.,1829.6,51,,,1807.0,46.0,,,,
/player/shnaider-51347/,Shnaider D.,1829.4,32,1723.0,13.0,1769.2,15.0,1410.6,4.0,,
/player/navarro-d5bcf/,Navarro E.,1829.4,32,1698.9,10.0,1679.2,10.0,1661.1,12.0,,
/player/breazu/,Breazu V.,1829.3,34,1812.0,12.0,1715.0,13.0,1434.3,1.0,,
/player/cirstea/,Cirstea S.,1829.3,28,1682.3,7.0,1832.5,16.0,1598.2,5.0,,
/player/singh-e3612/,Singh K.,1829.3,28,1645.5,17.0,1731.9,9.0,,,,
/player/popa-2eece/,Popa M.,1829.1,38,,,1808.6,38.0,,,,
/player/auger-aliassime/,Auger Aliassime F.,1828.4,29,1555.5,5.0,1679.0,12.0,1710.2,10.0,,
/player/lumsden-ae5ff/,Lumsden E.,1828.3,17,,,1643.5,8.0,,,,
/player/michalski-8906f/,Michalski D.,1827.8,39,1798.8,10.0,1631.4,29.0,,,,
/player/dellien/,Dellien H.,1827.5,51,1420.8,4.0,1897.9,45.0,1487.3,1.0,,
/player/cobolli-d6311/,Cobolli F.,1827.3,36,1680.5,9.0,1768.0,21.0,1648.8,6.0,,
/player/lene/,Lene E.,1827.3,38,,,1800.4,38.0,,,,
/player/anisimova-3be62/,Anisimova A.,1826.3,16,1690.4,9.0,1502.8,2.0,1621.8,5.0,,
/player/tupitsyna/,Tupitsyna E.,1825.9,23,1850.2,23.0,,,,,,
/player/arsic-f07e6/,Arsic N.,1825.2,14,1610.8,2.0,1659.0,6.0,1621.2,4.0,,
